"""Institution""",State,HD2022.Level of institution,HD2022.Control of institution,SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,DRVADM2022.Percent admitted - total,SAT Composite 25th percentile score,SAT Composite 50th percentile score,SAT Composite 75th Percentile Score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,national.html,artsandhumanities.html,businessandeconomics.html,clinicalandhealth.html,computerscience.html,education.html,engineering.html,law.html,lifesciences.html,physicalsciences.html,psychology.html,socialsciences.html,
"""University of Wyoming""",Wyoming,Four or more years,Public,96,7174,7636,10658,15669,16968,22815,37965,96,0,0,0,,,,141,98,137,115,,97,119,,99,108,139125,,
"""Richport Technical College""",Louisiana,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Stanford University""",California,Four or more years,Private not-for-profit,68,-1386,-1876,3637,7332,45276,82162,82162,4,1500,1550,1580,33,35,35,1,1,2,2,1,2,2,2,127,3,12,,
"""Purdue University-Main Campus""",Indiana,Four or more years,Public,60,5478,6643,10078,18106,21168,22922,41724,53,1200,1330,1470,27,31,34,33,53,28,54,23,22,17,,32,41,3545,,
"""Blue Hills Regional Technical School""",Massachusetts,Less than 2 years (below associate),Public,83,48869,46775,48940,0,0,,,40,0,0,0,,,,,,,,,,,,,,,,
"""Parker University""",Texas,Four or more years,Private not-for-profit,93,23426,24032,26044,20932,23177,,,,0,0,0,,,,,,,,,,,,,,,,
"""City College-Fort Lauderdale""",Florida,Four or more years,Private for-profit,100,31786,0,26528,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Meridian College""",Florida,At least 2 but less than 4 years,Private for-profit,75,17075,18900,17991,20779,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Georgia State University-Perimeter College""",Georgia,At least 2 but less than 4 years,Public,85,8137,8583,10774,13287,13505,,,99,840,950,1070,15,17,20,,,,,,,,,,,,,
"""Georgia Piedmont Technical College""",Georgia,At least 2 but less than 4 years,Public,100,11503,10243,11377,13433,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""ETI School of Skilled Trades""",Illinois,Less than 2 years (below associate),Private for-profit,54,34504,35649,35979,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Traxlers School of Hair""",Mississippi,Less than 2 years (below associate),Private for-profit,92,9078,9078,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Warren County Community College""",New Jersey,At least 2 but less than 4 years,Public,69,2410,4251,4829,6921,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""St. John's College""",New Mexico,Four or more years,Private not-for-profit,95,13543,14921,26915,29963,33765,53210,53210,54,1250,1370,1460,28,31,32,,,,,,,,,,,,,
"""Bais Medrash Elyon""",New York,Four or more years,Private not-for-profit,100,0,0,0,0,0,15400,15400,100,0,0,0,,,,,,,,,,,,,,,,
"""Antioch University-Los Angeles""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Antioch University-Santa Barbara""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Antioch University-New England""",New Hampshire,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Antioch University-Seattle""",Washington,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Antioch University""",Ohio,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mid-America Christian University""",Oklahoma,Four or more years,Private not-for-profit,93,17533,17648,16359,18294,18800,32090,32090,,0,0,0,,,,,,,,,,,,,,,,
"""Miller-Motte College-Tulsa""",Oklahoma,At least 2 but less than 4 years,Private for-profit,100,21398,25172,23991,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ponca City Beauty College""",Oklahoma,Less than 2 years (below associate),Private for-profit,100,5653,7186,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Francis Tuttle Technology Center""",Oklahoma,Less than 2 years (below associate),Public,53,2359,3948,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Central Technology Center""",Oklahoma,Less than 2 years (below associate),Public,58,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Carrington College-Portland""",Oregon,Less than 2 years (below associate),Private for-profit,96,28302,28099,30407,33213,33213,,,,0,0,0,,,,,,,,,,,,,,,,
"""Career Technology Center of Lackawanna County""",Pennsylvania,Less than 2 years (below associate),Public,100,13289,17882,0,0,24504,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Houston Graduate School of Theology""",Texas,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Palo Alto College""",Texas,At least 2 but less than 4 years,Public,90,4296,5433,6531,6217,7386,,,,0,0,0,,,,,,,,,,,,,,,,
"""Sebring Career Schools-Huntsville""",Texas,Less than 2 years (below associate),Private for-profit,85,20210,19147,16246,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""UCAS University of Cosmetology Arts & Sciences-San Antonio 410""",Texas,Less than 2 years (below associate),Private for-profit,100,20385,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Central Texas Beauty College-Round Rock""",Texas,Less than 2 years (below associate),Private for-profit,67,9204,9840,10777,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Unification Theological Seminary""",New York,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Athens Technical College""",Georgia,At least 2 but less than 4 years,Public,100,5927,7085,8850,11628,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""GateWay Community College-Central City""",Arizona,Less than 2 years (below associate),Public,44,10948,10869,12958,11402,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Carrington College-San Leandro Campus""",California,At least 2 but less than 4 years,Private for-profit,89,30687,32378,30203,34506,34751,,,,0,0,0,,,,,,,,,,,,,,,,
"""Headmasters School of Hair Design""",Idaho,Less than 2 years (below associate),Private for-profit,81,11209,17908,17908,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""The Salon Professional Academy-Nampa""",Idaho,Less than 2 years (below associate),Private for-profit,43,23621,21514,24004,22857,17465,,,,0,0,0,,,,,,,,,,,,,,,,
"""Beckfield College-Florence""",Kentucky,Four or more years,Private for-profit,95,27865,30163,29614,32352,32446,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Louisiana-System Administration""",Louisiana,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Dorsey College-Wayne""",Michigan,Less than 2 years (below associate),Private for-profit,81,38770,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ecumenical Theological Seminary""",Michigan,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ross Medical Education Center-Saginaw""",Michigan,Less than 2 years (below associate),Private for-profit,100,19278,21125,15274,17924,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Sussex County Community College""",New Jersey,At least 2 but less than 4 years,Public,64,9596,10960,11835,12739,13341,,,,0,0,0,,,,,,,,,,,,,,,,
"""Landmark College""",Vermont,Four or more years,Private not-for-profit,100,31870,36652,39768,41550,48060,82180,82180,45,0,0,0,,,,,,,,,,,,,,,,
"""Mississippi Community College Board""",Mississippi,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Yeshiva Gedolah of Greater Detroit""",Michigan,Four or more years,Private not-for-profit,100,5286,2933,3903,2983,0,17600,17600,84,0,0,0,,,,,,,,,,,,,,,,
"""Austin Graduate School of Theology""",Texas,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Collin County Community College District""",Texas,Four or more years,Public,56,6498,7279,9487,12305,13156,21098,23198,,0,0,0,,,,,,,,,,,,,,,,
"""Owensboro Community and Technical College""",Kentucky,At least 2 but less than 4 years,Public,100,5301,4074,5756,7925,10964,,,,0,0,0,,,,,,,,,,,,,,,,
"""Allure Beauty College""",Kentucky,Less than 2 years (below associate),Private for-profit,94,11612,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cloyd's Beauty School 3 Inc""",Louisiana,Less than 2 years (below associate),Private for-profit,100,7894,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Moore Norman Technology Center""",Oklahoma,At least 2 but less than 4 years,Public,71,7844,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fayette County Career & Technical Institute Practical Nursing Program""",Pennsylvania,Less than 2 years (below associate),Public,94,14944,14447,14447,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Franklin County Career and Technology Center""",Pennsylvania,Less than 2 years (below associate),Public,79,24573,21432,24175,26840,26840,,,61,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Knoxville""",Tennessee,Less than 2 years (below associate),Private for-profit,91,18212,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ogle School Hair Skin Nails-Hurst""",Texas,Less than 2 years (below associate),Private for-profit,87,17333,18550,20204,21785,23076,,,,0,0,0,,,,,,,,,,,,,,,,
"""Tennessee College of Applied Technology Nashville""",Tennessee,At least 2 but less than 4 years,Public,96,8592,10482,9229,11282,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""ECPI University""",Virginia,Four or more years,Private for-profit,88,22319,22827,23707,25992,26033,,,83,0,0,0,,,,,,,,,,,,,,,,
"""Ms Roberts Academy of Beauty Culture""",Illinois,Less than 2 years (below associate),Private for-profit,61,14557,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Houston""",Texas,Less than 2 years (below associate),Private for-profit,82,18178,21228,0,22573,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fortis Institute-Forty Fort""",Pennsylvania,At least 2 but less than 4 years,Private for-profit,94,23621,24500,25554,28913,28913,,,,0,0,0,,,,,,,,,,,,,,,,
"""Laurel Business Institute""",Pennsylvania,At least 2 but less than 4 years,Private for-profit,94,5982,6335,10810,13384,15066,,,84,0,0,0,,,,,,,,,,,,,,,,
"""Aviation Institute of Maintenance-Philadelphia""",Pennsylvania,At least 2 but less than 4 years,Private for-profit,95,20685,19980,20107,26814,26814,,,,0,0,0,,,,,,,,,,,,,,,,
"""Dorsey College-Roseville""",Michigan,Less than 2 years (below associate),Private for-profit,85,38916,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Moler-Pickens Beauty Academy""",Ohio,Less than 2 years (below associate),Private for-profit,85,14339,16734,18008,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Red River Technology Center""",Oklahoma,Less than 2 years (below associate),Public,94,8099,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southern Union State Community College""",Alabama,At least 2 but less than 4 years,Public,78,6894,8260,9594,13684,12984,14120,17870,,0,0,0,,,,,,,,,,,,,,,,
"""South University-Columbia""",South Carolina,Four or more years,Private for-profit,87,24385,21152,0,27648,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Clinton Technical School""",Missouri,Less than 2 years (below associate),Public,88,12912,0,11815,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Greene County Career and Technology Center""",Pennsylvania,Less than 2 years (below associate),Public,100,18596,0,0,0,0,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Lac Courte Oreilles Ojibwe University""",Wisconsin,Four or more years,Public,54,11060,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Diesel Driving Academy-Shreveport""",Louisiana,Less than 2 years (below associate),Private for-profit,68,14316,0,18474,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pima Medical Institute-Mesa""",Arizona,At least 2 but less than 4 years,Private for-profit,94,25073,29007,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Platt College-Los Angeles""",California,Four or more years,Private for-profit,85,28035,29482,29995,29832,32231,,,,0,0,0,,,,,,,,,,,,,,,,
"""Platt College-Aurora""",Colorado,Four or more years,Private for-profit,83,38086,42416,42416,0,42416,,,65,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Boise""",Idaho,Less than 2 years (below associate),Private for-profit,95,14889,15375,18407,20492,20970,,,,0,0,0,,,,,,,,,,,,,,,,
"""Educators of Beauty College of Cosmetology-Rockford""",Illinois,Less than 2 years (below associate),Private for-profit,91,12096,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Northwestern College""",Illinois,Four or more years,Private for-profit,100,27587,28812,28319,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Douglas J Aveda Institute""",Michigan,At least 2 but less than 4 years,Private for-profit,90,23282,24937,26356,28080,28651,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ross Medical Education Center-Brighton""",Michigan,Less than 2 years (below associate),Private for-profit,96,17444,0,21376,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ross Medical Education Center-Ann Arbor""",Michigan,Less than 2 years (below associate),Private for-profit,100,18679,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Taylortown School of Beauty Inc""",Michigan,Less than 2 years (below associate),Private for-profit,56,22594,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pike-Lincoln Technical Center""",Missouri,Less than 2 years (below associate),Public,88,13393,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""West Virginia Junior College-United Career Institute""",Pennsylvania,At least 2 but less than 4 years,Private for-profit,94,9826,0,12747,18087,19129,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bethel Seminary-San Diego""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""St Charles Community College""",Missouri,At least 2 but less than 4 years,Public,79,1657,3434,5691,7208,6440,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Massachusetts Global""",California,Four or more years,Public,67,33455,32733,31606,35619,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""New College of Florida""",Florida,Four or more years,Public,100,3665,6395,8901,13377,15594,21677,44705,75,1103,1230,1360,24,26,31,,,,,,,,,,,,,
"""Montana Bible College""",Montana,Four or more years,Private not-for-profit,,0,0,0,0,0,17090,17090,,0,0,0,,,,,,,,,,,,,,,,
"""Conservatory of Recording Arts and Sciences""",Arizona,Less than 2 years (below associate),Private for-profit,90,18513,19149,20130,22450,22714,,,,0,0,0,,,,,,,,,,,,,,,,
"""Adrian's Beauty College of Turlock""",California,Less than 2 years (below associate),Private for-profit,84,17982,19091,20384,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""California Career School""",California,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""San Joaquin Valley College-Fresno""",California,At least 2 but less than 4 years,Private for-profit,92,25490,25420,27697,29561,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Dr. Ida Rolf Institute""",Colorado,Less than 2 years (below associate),Private not-for-profit,80,32183,0,0,0,0,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Aveda Institute-Fort Myers""",Florida,Less than 2 years (below associate),Private not-for-profit,100,17378,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Elizabeth Grady School of Esthetics and Massage Therapy""",Massachusetts,Less than 2 years (below associate),Private for-profit,77,14722,15384,17679,17703,18394,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ross Medical Education Center-Port Huron""",Michigan,Less than 2 years (below associate),Private for-profit,100,17115,14436,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Capri Institute of Hair Design-Clifton""",New Jersey,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Raphael's School of Beauty Culture Inc-Alliance""",Ohio,At least 2 but less than 4 years,Private for-profit,82,21904,22922,26399,0,27293,,,,0,0,0,,,,,,,,,,,,,,,,
"""Metro Technology Centers""",Oklahoma,At least 2 but less than 4 years,Public,72,7854,7501,10701,12929,12929,,,,0,0,0,,,,,,,,,,,,,,,,
"""Luna Community College""",New Mexico,At least 2 but less than 4 years,Public,87,6978,7556,8639,7662,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Grabber School of Hair Design""",Missouri,Less than 2 years (below associate),Private for-profit,77,10099,11146,11575,15380,15380,,,,0,0,0,,,,,,,,,,,,,,,,
"""Yeshivah Gedolah Rabbinical College""",Florida,Four or more years,Private not-for-profit,80,0,10705,0,0,0,18200,18200,,0,0,0,,,,,,,,,,,,,,,,
"""Raphael's School of Beauty Culture Inc-Brunswick""",Ohio,At least 2 but less than 4 years,Private for-profit,78,17705,18292,20584,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of Advancing Technology""",Arizona,Four or more years,Private for-profit,100,17472,18112,20193,24161,22988,30344,30344,92,0,0,0,,,,,,,,,,,,,,,,
"""Paradise Valley Community College""",Arizona,At least 2 but less than 4 years,Public,99,9899,10831,12719,14523,16208,,,,0,0,0,,,,,,,,,,,,,,,,
"""Chandler-Gilbert Community College""",Arizona,At least 2 but less than 4 years,Public,100,10760,11630,13678,16436,16578,25215,30999,,0,0,0,,,,,,,,,,,,,,,,
"""Great Plains Technology Center""",Oklahoma,At least 2 but less than 4 years,Public,85,6241,6571,7461,8801,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Roane-Jackson Technical Center""",West Virginia,At least 2 but less than 4 years,Public,83,3097,2284,3984,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pioneer Technology Center""",Oklahoma,Less than 2 years (below associate),Public,90,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Portage Lakes Career Center""",Ohio,Less than 2 years (below associate),Public,88,17470,16060,19199,19453,20544,,,,0,0,0,,,,,,,,,,,,,,,,
"""Eastern College of Health Vocations-New Orleans""",Louisiana,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bell Mar Beauty College""",Illinois,Less than 2 years (below associate),Private for-profit,73,10665,0,12881,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Caddo Kiowa Technology Center""",Oklahoma,Less than 2 years (below associate),Public,95,3545,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Center for Instruction, Technology & Innovation""",New York,Less than 2 years (below associate),Public,100,11463,10931,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""International School of Skin Nailcare & Massage Therapy""",Georgia,Less than 2 years (below associate),Private for-profit,63,44345,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Palomar Institute of Cosmetology""",California,Less than 2 years (below associate),Private for-profit,56,15222,16621,17322,0,21717,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southern Oklahoma Technology Center""",Oklahoma,Less than 2 years (below associate),Public,100,3766,5381,3016,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Autry Technology Center""",Oklahoma,At least 2 but less than 4 years,Public,94,0,0,0,0,0,,,64,0,0,0,,,,,,,,,,,,,,,,
"""Greene County Career Center""",Ohio,Less than 2 years (below associate),Public,67,0,11938,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Canadian Valley Technology Center""",Oklahoma,At least 2 but less than 4 years,Public,70,5953,6226,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Wilkes-Barre Area Career and Technical Center Practical Nursing""",Pennsylvania,Less than 2 years (below associate),Public,100,13352,9559,9212,0,0,,,64,0,0,0,,,,,,,,,,,,,,,,
"""Meridian Technology Center""",Oklahoma,At least 2 but less than 4 years,Public,93,9685,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Waynesville Career Center""",Missouri,Less than 2 years (below associate),Public,77,24087,19101,27201,26112,31550,,,,0,0,0,,,,,,,,,,,,,,,,
"""Capitol Beauty School""",Nebraska,At least 2 but less than 4 years,Private for-profit,66,9903,13532,13605,16339,16910,,,,0,0,0,,,,,,,,,,,,,,,,
"""Morris County Vocational School District""",New Jersey,Less than 2 years (below associate),Public,68,16426,19389,0,0,0,,,100,0,0,0,,,,,,,,,,,,,,,,
"""Ross Medical Education Center-Roosevelt Park""",Michigan,Less than 2 years (below associate),Private for-profit,100,18494,16976,21902,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ross Medical Education Center-Kentwood""",Michigan,Less than 2 years (below associate),Private for-profit,96,18115,16962,19453,0,23550,,,,0,0,0,,,,,,,,,,,,,,,,
"""South Florida Bible College and Theological Seminary""",Florida,Four or more years,Private not-for-profit,100,13928,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cloyd's Barber School 2 Inc""",Louisiana,Less than 2 years (below associate),Private for-profit,40,3390,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Universal Technical Institute of Illinois Inc""",Illinois,At least 2 but less than 4 years,Private for-profit,93,21618,21784,24106,26801,26902,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pennsylvania College of Technology""",Pennsylvania,Four or more years,Public,89,19399,20272,24043,26712,29254,35087,42827,,0,0,0,,,,,,,,,,,,,,,,
"""Commonwealth Institute of Funeral Service""",Texas,At least 2 but less than 4 years,Private not-for-profit,63,33982,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Delta College of Arts & Technology""",Louisiana,At least 2 but less than 4 years,Private for-profit,97,17832,20205,21263,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""InterCoast Colleges-Santa Ana""",California,Less than 2 years (below associate),Private for-profit,100,24034,26380,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Stone Child College""",Montana,Four or more years,Public,100,6340,6406,14308,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""New York Academy of Art""",New York,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Suffolk County Community College""",New York,At least 2 but less than 4 years,Public,66,3384,4831,7398,9840,11285,,,,0,0,0,,,,,,,,,,,,,,,,
"""Las Positas College""",California,At least 2 but less than 4 years,Public,56,1198,924,4455,6603,2533,,,,0,0,0,,,,,,,,,,,,,,,,
"""Blades School of Hair Design""",Maryland,Less than 2 years (below associate),Private for-profit,32,0,14298,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ogeechee Technical College""",Georgia,At least 2 but less than 4 years,Public,99,5581,6293,8731,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Remington College-Mobile Campus""",Alabama,At least 2 but less than 4 years,Private not-for-profit,90,25363,26718,25565,0,30153,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southern Technical College""",Florida,Four or more years,Private for-profit,94,19539,21637,24661,25528,25653,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mercy-St Luke's School of Radiologic Technology""",Iowa,At least 2 but less than 4 years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southwest Acupuncture College-Santa Fe""",New Mexico,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Northwest Technology Center-Alva""",Oklahoma,Less than 2 years (below associate),Public,100,6678,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mercer County Career Center""",Pennsylvania,Less than 2 years (below associate),Public,75,4939,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""California State University-San Marcos""",California,Four or more years,Public,75,6625,7515,10963,15727,18662,25507,37387,95,0,0,0,,,,,,,,,,,,,,,,
"""Hairmasters Institute of Cosmetology""",Illinois,Less than 2 years (below associate),Private for-profit,100,6755,9005,11005,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Tricoci University of Beauty Culture LLC-Bloomington""",Indiana,Less than 2 years (below associate),Private for-profit,89,14291,17152,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Interactive College of Technology-Newport""",Kentucky,At least 2 but less than 4 years,Private for-profit,86,11852,14399,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Miller-Motte College-McCann-Monroe""",Louisiana,At least 2 but less than 4 years,Private for-profit,96,22583,21229,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ross Medical Education Center-Taylor""",Michigan,Less than 2 years (below associate),Private for-profit,100,17390,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""National Tractor Trailer School Inc-Liverpool""",New York,Less than 2 years (below associate),Private for-profit,77,15286,14545,15358,14065,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Interactive College of Technology""",Texas,At least 2 but less than 4 years,Private for-profit,67,12550,12631,14254,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Butler Beauty Academy-New Castle Beauty Academy""",Pennsylvania,Less than 2 years (below associate),Private for-profit,45,8025,12343,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""NorthWest Arkansas Community College""",Arkansas,At least 2 but less than 4 years,Public,73,4593,5557,7674,8928,10213,,,,0,0,0,,,,,,,,,,,,,,,,
"""Brewster Technical College""",Florida,At least 2 but less than 4 years,Public,88,5213,2025,8213,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hodges University""",Florida,Four or more years,Private not-for-profit,88,18347,17247,13825,22539,22539,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of St. Augustine for Health Sciences""",California,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Capital Area School of Practical Nursing""",Illinois,Less than 2 years (below associate),Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hair Professionals Career College""",Illinois,Less than 2 years (below associate),Private for-profit,78,15360,8072,16522,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Bloomfield""",New Jersey,Less than 2 years (below associate),Private for-profit,81,17111,17002,20066,20296,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southwest Technology Center""",Oklahoma,Less than 2 years (below associate),Public,33,12742,15179,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Western Area Career & Technology Center""",Pennsylvania,Less than 2 years (below associate),Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hussian College-Daymar College Clarksville""",Tennessee,Four or more years,Private for-profit,88,28100,28313,28427,30661,31316,,,53,0,0,0,,,,,,,,,,,,,,,,
"""Nossi College of Art""",Tennessee,Four or more years,Private for-profit,99,22621,23183,25244,26245,26331,,,57,0,0,0,,,,,,,,,,,,,,,,
"""Seguin Beauty School-New Braunfels""",Texas,Less than 2 years (below associate),Private for-profit,67,15388,0,15977,21360,21360,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pima Medical Institute-Seattle""",Washington,At least 2 but less than 4 years,Private for-profit,75,28472,28766,30194,32369,0,,,,0,0,0,,,,,,,,,,,,,,,,
