Institution,State,IC2022.Typical room charge for academic year,IC2022.Typical board charge for academic year,IC2022.Combined charge for room and board,DRVEF2022.Percent of first-time undergraduates - in-state,DRVEF2022.Percent of first-time undergraduates - out-of-state,DRVEF2022.Percent of first-time undergraduates - foreign countries,"SFA2122.Percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVADM2022.Percent admitted - total,DRVADM2022.Admissions yield - total,"DRVIC2022.Tuition and fees, 2022-23",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,HD2022.Sector of institution,HD2022.Level of institution,HD2022.Control of institution,DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native,DRVEF2022.Percent of total enrollment that are Asian,DRVEF2022.Percent of total enrollment that are Black or African American,DRVEF2022.Percent of total enrollment that are Hispanic/Latino,DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,DRVEF2022.Percent of total enrollment that are White,DRVEF2022.Percent of total enrollment that are U.S. Nonresident,DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,"DRVGR2022.Graduation rate, total cohort","DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, U.S. Nonresident",SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average amount of federal, state, local or institutional grant aid awarded",ADM2022.SAT Evidence-Based Reading and Writing 25th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 50th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 75th percentile score,ADM2022.SAT Math 25th percentile score,ADM2022.SAT Math 50th percentile score,ADM2022.SAT Math 75th percentile score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,ADM2022.ACT English 25th percentile score,ADM2022.ACT English 50th percentile score,ADM2022.ACT English 75th percentile score,ADM2022.ACT Math 25th percentile score,ADM2022.ACT Math 50th percentile score,ADM2022.ACT Math 75th percentile score
Ashtabula County Technical and Career Campus,Ohio,,,,100,0,0,36,8645,10166,9310,8549,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,1,4,2,0,88,0,1,69,,,,,,,,,81,6979,,,,,,,,,,,,,,,
Athenaeum of Ohio,Ohio,,,15000,100,0,0,9,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,1,3,0,72,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn Career Center,Ohio,,,,98,0,0,33,5526,5932,,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,1,5,6,0,84,0,1,44,,,,,,,,,93,1971,,,,,,,,,,,,,,,
Aultman College of Nursing and Health Sciences,Ohio,,,,100,0,0,68,,,,,,,20173,15875,22292,8134,22823,22657,55,65,19310,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,2,6,3,0,84,0,2,81,,,,,,,87,,90,6398,,,,,,,18,20,22,15,19,21,17,20,23
Baldwin Wallace University,Ohio,6258,6538,,78,22,0,96,,,,,,,28705,22161,22634,23979,27944,31232,77,20,36850,57546,57546,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,7,6,0,78,1,2,65,50,63,63,,47,61,70,67,100,24981,523,600,650,520,580,648,20,23,27,20,23,27,19,23,26
Belmont College,Ohio,,,,94,6,0,50,5501,4012,6479,6817,7729,8323,,,,,,,,,4700,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,1,2,0,93,0,1,35,0,,,,0,50,36,,87,4236,,,,,,,,,,,,,,,
Bluffton University,Ohio,5712,6136,,79,19,2,98,,,,,,,21247,16030,16529,19232,22469,27931,96,15,35516,51118,51118,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,12,3,0,75,3,0,46,,0,0,,37,36,50,100,100,28214,,,,,,,15,18,19,12,15,18,15,16,18
Bowling Green State University-Firelands,Ohio,,,,93,7,0,45,13609,12647,13527,15775,18193,18591,,,,,,,,,6036,,,"Public, 4-year or above",Four or more years,Public,0,0,8,7,0,74,0,1,12,50,0,0,,5,0,13,,86,5605,,,,,,,,,,,,,,,
Bowling Green State University-Main Campus,Ohio,7560,5024,,88,11,1,77,20485,15493,16595,20381,23234,23583,,,,,,,79,21,13639,30393,38966,"Public, 4-year or above",Four or more years,Public,0,1,6,5,0,77,5,1,61,0,73,76,50,43,51,65,69,98,8898,490,550,600,500,550,600,20,22,25,18,21,24,17,21,25
Bryant & Stratton College-Parma,Ohio,,,,85,15,0,95,,,,,,,14146,14508,12305,11960,17712,16922,,,19433,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,37,8,0,46,0,1,30,,100,100,100,10,67,35,,95,9257,,,,,,,,,,,,,,,
Buckeye Hills Career Center,Ohio,,,,100,0,0,80,11581,10227,12185,12421,15303,17708,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,1,0,1,1,0,93,0,0,79,,,,,,,,,98,7081,,,,,,,,,,,,,,,
Butler Technology and Career Development Schools,Ohio,,,,98,2,0,33,,,,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,5,17,3,0,70,0,5,83,,,,,,,,,37,4676,,,,,,,,,,,,,,,
Canton City Schools Adult Career and Technical Education,Ohio,,,,100,0,0,94,16983,17814,26295,,,26295,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,1,36,1,0,42,0,1,74,,,,,,,,,100,8775,,,,,,,,,,,,,,,
Capital University,Ohio,6058,6250,,94,4,2,92,,,,,,,24439,21705,20210,22174,24781,26836,72,16,40350,56982,56982,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,11,5,0,72,2,3,61,67,67,75,50,43,54,65,57,98,28469,470,560,593,490,540,593,18,21,24,15,20,24,17,19,24
Case Western Reserve University,Ohio,9870,7350,,15,67,18,82,,,,,,,38279,16010,17541,22653,32824,47824,27,15,61584,82004,82004,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,18,7,8,0,40,20,18,86,100,88,88,0,96,84,87,79,90,35452,680,720,750,730,770,790,32,33,35,33,34,35,30,33,35
Cedarville University,Ohio,4786,3614,,34,62,3,85,,,,,,,25462,17152,19617,19209,24810,26144,65,32,34698,47192,47192,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,2,3,0,86,2,3,75,100,67,67,,40,68,76,100,100,19637,580,640,690,550,610,690,23,26,29,23,26,32,22,25,28
Central Ohio Technical College,Ohio,,,,100,0,0,49,10103,9030,9947,10532,12824,14135,,,,,,,,,5016,,,"Public, 4-year or above",Four or more years,Public,0,4,13,4,0,66,0,4,30,33,50,50,,9,0,35,,92,5775,,,,,,,,,,,,,,,
Central School of Practical Nursing,Ohio,,,,100,0,0,98,,,,,,,18792,18546,19086,16682,21816,,,,,,,"Private not-for-profit, less-than 2-year",Less than 2 years (below associate),Private not-for-profit,0,68,5,3,0,24,0,68,31,,,,,,,,,100,5113,,,,,,,,,,,,,,,
Central State University,Ohio,5824,5076,,55,36,9,99,10194,12201,12173,13106,19213,19757,,,,,,,89,18,7596,21196,23196,"Public, 4-year or above",Four or more years,Public,1,2,33,12,0,26,2,2,25,,,,,24,25,0,100,94,6943,,,,,,,,,,,,,,,
Chatfield College,Ohio,,,,,,,39,,,,,,,15880,16517,,,17092,,,,14080,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,2,1,17,2,1,74,0,2,20,,,,,17,,25,,88,8766,,,,,,,,,,,,,,,
Choffin Career  and Technical Center,Ohio,,,,91,9,0,96,10354,11718,12337,12676,10183,,,,,,,,,,8200,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,62,3,0,35,0,0,96,,,,,,,,,100,8109,,,,,,,,,,,,,,,
The Christ College of Nursing and Health Sciences,Ohio,,,,87,9,0,86,,,,,,,18370,15062,13792,17353,24521,23495,71,38,16472,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,15,3,0,74,0,3,53,,50,50,,67,,54,,100,9504,440,490,510,440,500,510,17,19,22,15,19,21,15,17,21
Cincinnati College of Mortuary Science,Ohio,,,,,,,45,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,9,3,0,85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Cincinnati-Main Campus,Ohio,7642,5210,,78,17,5,60,20149,12066,13815,20258,25042,25710,,,,,,,86,25,13176,30166,45530,"Public, 4-year or above",Four or more years,Public,0,5,8,4,0,66,10,5,72,50,79,79,50,63,67,73,75,84,8733,580,620,670,580,640,690,24,26,29,23,25,30,23,26,29
Cincinnati State Technical and Community College,Ohio,,,,90,9,0,68,9088,5771,7165,9113,12683,13308,,,,,,,,,5274,,,"Public, 4-year or above",Four or more years,Public,0,3,22,4,0,56,2,3,17,0,24,24,,6,29,20,27,99,5564,,,,,,,,,,,,,,,
University of Cincinnati-Clermont College,Ohio,,,,90,9,0,19,9248,7083,7928,9809,11450,12272,,,,,,,,,6364,,,"Public, 4-year or above",Four or more years,Public,0,4,9,5,0,72,2,4,22,,67,67,,9,11,22,50,89,5500,,,,,,,,,,,,,,,
University of Cincinnati-Blue Ash College,Ohio,7642,5210,,92,7,0,40,12474,10780,11006,13131,15807,16223,,,,,,,,,6790,23780,32578,"Public, 4-year or above",Four or more years,Public,0,5,16,6,0,64,1,6,16,0,20,21,0,8,12,21,13,86,5628,,,,,,,,,,,,,,,
Ohio Christian University,Ohio,4500,4730,,77,20,0,57,,,,,,,20490,18474,18072,22425,23042,22776,,,23050,35630,35630,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,16,3,1,49,0,2,32,0,100,100,,21,27,43,,98,12560,,,,,,,,,,,,,,,
Clark State College,Ohio,,,,98,2,0,48,8192,6993,7049,9803,11597,11879,,,,,,,,,4152,,,"Public, 4-year or above",Four or more years,Public,0,1,14,4,0,73,1,1,32,29,33,33,,22,40,34,0,89,4710,,,,,,,,,,,,,,,
Cleveland Institute of Art,Ohio,9580,6730,,68,32,0,98,,,,,,,33395,27187,28494,32196,33387,38592,70,32,46460,63840,63840,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,10,10,0,68,2,3,73,50,100,100,100,36,67,80,78,99,28356,570,620,660,510,570,620,21,24,28,20,26,30,18,22,26
Cleveland Institute of Music,Ohio,10300,7350,,7,78,15,99,,,,,,,29383,20150,16699,32854,15954,31704,36,30,42370,58843,58843,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,15,3,6,0,44,25,15,83,,75,75,,100,50,86,81,100,28571,,,,,,,,,,,,,,,
Cleveland State University,Ohio,9077,5120,,85,7,6,68,15719,13480,14540,16296,17959,18950,,,,,,,85,17,12254,30821,36036,"Public, 4-year or above",Four or more years,Public,0,4,14,7,0,54,15,4,49,0,56,57,0,25,41,55,66,94,9436,450,510,570,430,510,560,18,19,25,16,20,24,16,19,25
Columbiana County Career and Technical Center,Ohio,,,,83,17,0,73,10613,10333,10727,13020,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,1,8,4,0,86,0,1,77,,,,,,,,,97,5957,,,,,,,,,,,,,,,
Columbus College of Art and Design,Ohio,6300,4700,,67,28,0,99,,,,,,,29238,22364,23978,27529,30512,33828,91,32,38150,55030,55030,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,11,8,0,66,2,4,60,,83,83,,32,53,65,57,100,23246,,,,,,,,,,,,,,,
Columbus State Community College,Ohio,,,,96,1,2,44,6964,5669,6309,8677,10753,11365,,,,,,,,,5188,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,5,20,7,0,47,2,5,26,20,27,27,50,14,17,32,29,81,6473,,,,,,,,,,,,,,,
Cuyahoga Community College District,Ohio,,,,98,1,0,61,5928,4732,5589,7956,10616,11542,,,,,,,,,3736,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,3,23,8,0,55,2,3,26,33,25,26,0,13,21,31,33,76,5818,,,,,,,,,,,,,,,
Davis College,Ohio,,,,100,0,0,75,,,,,,,27262,27919,,,,,,,14130,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,5,51,3,0,25,10,5,0,,,,,0,,,,77,5513,,,,,,,,,,,,,,,
Dayton Barber College,Ohio,,,,100,0,0,70,,,,,,,13574,13794,12355,11112,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,1,48,6,0,36,0,1,67,,,,,64,100,67,,87,4830,,,,,,,,,,,,,,,
University of Dayton,Ohio,9260,6130,,54,45,2,93,,,,,,,30590,22603,24647,25840,28469,33715,74,14,46170,64310,64310,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,6,6,0,70,12,2,81,100,67,67,,76,77,83,56,98,31920,588,630,673,570,640,690,24,27,30,23,26,31,23,26,29
Defiance College,Ohio,5806,5134,,66,31,0,93,,,,,,,23196,20482,18824,23165,25211,27784,63,9,35328,50744,50744,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,25,8,0,65,0,0,42,,100,100,,0,18,54,100,100,24970,,,,,,,18,19,21,14,17,21,16,18,21
Denison University,Ohio,8000,6770,,21,65,13,96,,,,,,,38267,14650,15768,23015,26653,41242,22,25,60000,76900,76900,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,6,7,0,61,17,3,85,,89,89,,94,84,83,89,97,36497,630,680,710,640,690,750,29,31,32,29,32,34,26,28,31
Edison State Community College,Ohio,,,,97,1,0,39,8304,9272,9374,9842,10410,12733,,,,,,,,,4251,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,3,2,0,89,0,1,23,,0,0,0,6,17,26,0,98,5291,,,,,,,,,,,,,,,
EHOVE Career Center,Ohio,,,,100,0,0,60,,,,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,11,4,0,80,0,0,88,,,,,,,,,50,2872,,,,,,,,,,,,,,,
The University of Findlay,Ohio,5150,5570,,76,24,0,55,,,,,,,24069,19187,18051,22867,25007,26639,86,22,37621,52845,52845,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,4,1,0,64,7,2,65,0,67,67,,22,56,69,,100,26989,,,,,,,,,,,,,,,
Franklin University,Ohio,,,,87,13,0,53,,,,,,,18989,15076,16354,,,,,,9577,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,3,19,7,0,55,3,3,49,,33,33,,30,100,41,,31,7398,,,,,,,,,,,,,,,
Gerbers Akron Beauty School,Ohio,,,,100,0,0,24,,,,,,,8764,8657,10798,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,34,32,2,0,32,0,34,88,,,,,,,,,30,3138,,,,,,,,,,,,,,,
Gods Bible School and College,Ohio,1960,2900,,24,55,21,96,,,,,,,9478,7730,8000,8155,8545,,64,67,7046,17034,17034,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,5,4,0,78,9,1,45,,,,,50,0,43,67,100,6306,,,,,,,,,,,,,,,
Good Samaritan College of Nursing and Health Science,Ohio,,,,89,11,0,96,,,,,,,23480,24567,22588,27031,,27686,75,100,15470,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,24,7,0,56,0,1,41,,,,,,,41,,100,2480,,,,,,,,,,,,,,,
Great Oaks Career Campuses,Ohio,,,,94,6,0,65,10416,,10646,11218,13215,12815,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,1,12,5,0,78,0,1,83,,,,,,,,,67,5768,,,,,,,,,,,,,,,
Hannah E Mullins School of Practical Nursing,Ohio,,,,75,25,0,57,19776,18834,20825,23798,23474,,,,,,,,29,100,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,12,0,0,88,0,0,88,,,,,,,,,73,3767,,,,,,,,,,,,,,,
Adult and Community Education-Hudson,Ohio,,,,100,0,0,64,16769,16288,18010,18391,,,,,,,,,100,100,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,94,3,0,3,0,0,93,,,,,,,,,89,3181,,,,,,,,,,,,,,,
Hebrew Union College-Jewish Institute of Religion,New York,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,1,5,0,90,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Heidelberg University,Ohio,5670,5600,,73,27,0,98,,,,,,,20053,17712,15464,22245,24243,27385,71,19,33600,47870,47870,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,10,3,0,82,1,1,54,50,50,50,,20,55,62,33,100,26562,,,,,,,,,,,,,,,
Hiram College,Ohio,5300,5300,,74,24,2,61,,,,,,,19384,14455,14589,14973,19511,25074,93,11,25500,39472,39472,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,8,7,0,42,1,0,53,,100,100,100,37,20,63,67,100,18941,,,,,,,,,,,,,,,
Hobart Institute of Welding Technology,Ohio,,,,48,52,0,59,,,,,,,17118,17198,17758,19108,21078,22051,,,,,,"Private not-for-profit, less-than 2-year",Less than 2 years (below associate),Private not-for-profit,0,1,2,4,0,91,0,1,90,,,,,,,,,60,3937,,,,,,,,,,,,,,,
Hocking College,Ohio,5680,3760,,89,9,1,49,11560,10569,10971,13325,15526,15527,,,,,,,,,5300,19610,24120,"Public, 2-year",At least 2 but less than 4 years,Public,0,0,14,2,0,76,1,0,27,67,33,33,,11,36,33,0,86,4848,,,,,,,,,,,,,,,
Ross Medical Education Center-Cincinnati,Ohio,,,,100,0,0,91,,,,,,,18887,19062,20598,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,28,1,0,13,1,0,48,,,,,,,,,92,6279,,,,,,,,,,,,,,,
International College of Broadcasting,Ohio,,,,100,0,0,62,,,,,,,21547,21325,21630,,26364,26364,,,12430,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,33,0,0,65,0,0,54,,,,,43,100,56,,88,5442,,,,,,,,,,,,,,,
Eastern Gateway Community College,Ohio,,,,27,73,0,92,1845,1267,1779,1952,3002,,,,,,,,,,4230,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,3,20,16,0,53,0,3,31,30,39,28,60,24,35,33,,100,8749,,,,,,,,,,,,,,,
John Carroll University,Ohio,7260,5940,,66,34,0,98,,,,,,,30496,23663,23107,24892,27553,33700,82,16,47290,65240,65240,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,6,4,0,82,2,3,78,50,81,81,,59,83,79,77,100,30415,590,630,660,570,600,660,25,27,30,24,28,31,25,26,29
Hondros College of Nursing,Ohio,,,,75,25,0,82,,,,,,,26436,26134,27377,28354,27452,31432,90,84,19042,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,1,51,2,1,32,0,2,38,,,,,20,33,56,,96,6769,,,,,,,,,,,,,,,
Casal Aveda Institute,Ohio,,,,75,25,0,59,,,,,,,11150,10149,11824,13797,,16294,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,22,4,0,66,0,0,56,,,,,50,,56,,95,5361,,,,,,,,,,,,,,,
Kent State University at Ashtabula,Ohio,,,,97,3,0,55,11351,8849,9516,13173,14130,15107,,,,,,,,,7058,,,"Public, 4-year or above",Four or more years,Public,0,1,6,6,0,81,0,2,11,,0,0,,0,8,12,0,97,5647,,,,,,,,,,,,,,,
Kent State University at East Liverpool,Ohio,,,,95,5,0,45,10654,7871,9765,11068,14367,13024,,,,,,,,,7058,,,"Public, 4-year or above",Four or more years,Public,0,1,6,4,0,81,1,2,14,,100,100,,0,0,14,,93,5007,,,,,,,,,,,,,,,
Kent State University at Stark,Ohio,,,,99,1,0,55,10177,6672,7176,10472,12429,13268,,,,,,,,,7058,,,"Public, 4-year or above",Four or more years,Public,0,1,7,3,0,80,1,1,12,0,0,0,0,0,0,13,0,94,4508,,,,,,,,,,,,,,,
Kent State University at Trumbull,Ohio,,,,99,1,0,62,9854,8409,9328,10748,14284,12844,,,,,,,,,7058,,,"Public, 4-year or above",Four or more years,Public,0,1,7,3,0,82,0,1,12,,0,0,,5,33,13,,95,5808,,,,,,,,,,,,,,,
Kent State University at Tuscarawas,Ohio,,,,99,1,0,59,11358,8279,8494,11440,13913,13981,,,,,,,,,7058,,,"Public, 4-year or above",Four or more years,Public,0,1,5,3,0,85,1,1,24,,0,0,,0,20,26,,96,4288,,,,,,,,,,,,,,,
Kent State University at Salem,Ohio,,,,100,0,0,54,10324,7617,8715,11645,13853,13715,,,,,,,,,7058,,,"Public, 4-year or above",Four or more years,Public,0,1,5,3,0,84,1,1,12,,0,0,,100,,11,,93,5185,,,,,,,,,,,,,,,
Kent State University at Kent,Ohio,7010,5666,,80,18,2,86,19046,13195,14464,15126,20190,24176,,,,,,,88,24,12464,30854,39960,"Public, 4-year or above",Four or more years,Public,0,2,8,4,0,73,6,2,65,57,73,73,67,54,61,66,60,98,9539,490,550,620,500,550,600,18,21,25,17,21,24,17,20,25
Kent State University at Geauga,Ohio,,,,100,0,0,52,9969,7131,8723,10749,13926,13994,,,,,,,,,7058,,,"Public, 4-year or above",Four or more years,Public,0,2,12,3,0,75,1,2,16,0,20,20,,3,22,19,,87,5112,,,,,,,,,,,,,,,
Kenyon College,Ohio,,,13610,12,67,10,76,,,,,,,43044,17808,17325,20493,28824,51597,34,19,66490,83800,83800,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,4,3,8,0,66,12,5,87,,74,74,,90,74,89,93,83,37226,690,720,760,660,700,755,31,33,34,33,35,35,27,30,32
Kettering College,Ohio,4800,,,57,14,28,74,,,,,,,16398,9509,11196,19572,20605,19305,34,49,14664,30434,30434,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,3,8,5,0,63,6,4,50,,100,100,,0,100,48,50,89,11401,,,,,,,18,20,23,16,20,23,17,19,24
Lake Erie College,Ohio,4666,6176,,54,40,5,85,,,,,,,22678,18006,17510,21597,23207,24339,54,38,35024,50046,50046,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,13,7,0,65,4,1,42,0,33,33,,19,13,51,44,100,25417,490,540,590,510,540,580,20,23,26,18,22,25,18,23,26
Lakeland Community College,Ohio,,,,99,1,0,32,7020,5833,6514,8154,10477,10663,,,,,,,,,3741,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,2,10,5,0,71,0,2,16,,25,25,,5,0,22,0,66,3842,,,,,,,,,,,,,,,
O C Collins Career Center,Ohio,,,,55,45,0,68,6670,6386,6551,7927,10628,,,,,,,,,,,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,0,2,1,0,97,0,0,71,,,,,100,100,70,,85,5373,,,,,,,,,,,,,,,
James A. Rhodes State College,Ohio,,,,100,0,0,19,8991,8297,9082,9435,9695,13099,,,,,,,,,4532,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,1,4,0,0,74,0,1,27,,0,,0,9,,27,,66,4200,,,,,,,,,,,,,,,
Ohio Business College-Sheffield,Ohio,,,,100,0,0,83,,,,,,,21757,21679,23550,23162,29115,29115,,,9385,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,26,23,0,41,0,0,73,,,,,50,93,67,,88,7332,,,,,,,,,,,,,,,
Ohio Business College-Sandusky,Ohio,,,,100,0,0,93,,,,,,,21666,22708,18778,22229,,,,,9385,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,11,7,0,66,0,0,63,,,,,43,67,82,,100,5823,,,,,,,,,,,,,,,
Lorain County Community College,Ohio,,,,99,1,0,83,3896,2740,3620,5123,6828,7935,,,,,,,,,4005,,,"Public, 4-year or above",Four or more years,Public,0,2,9,11,0,72,0,2,26,33,33,44,0,8,31,28,15,88,6159,,,,,,,,,,,,,,,
Lourdes University,Ohio,6200,5800,,74,26,0,85,,,,,,,22634,22205,17105,23487,25906,24199,60,26,28650,45318,45318,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,2,12,3,0,77,0,2,50,,0,0,,36,52,54,60,100,18038,,,,,,,,,,,,,,,
Malone University,Ohio,5200,5600,,81,17,3,83,,,,,,,21571,15722,16117,18579,23313,24844,78,20,34875,49975,49975,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,8,3,0,76,2,2,51,,100,100,,20,23,63,100,100,24747,488,550,590,455,545,600,18,21,23,16,20,23,17,20,24
Marietta College,Ohio,6890,5234,,70,30,1,96,,,,,,,22895,16908,15010,18258,20750,26798,83,16,38022,53044,53044,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,4,3,0,82,2,1,50,0,33,100,0,11,50,53,61,100,28786,480,520,580,460,505,550,18,21,24,15,19,23,16,20,24
Marion Technical College,Ohio,,,,100,0,0,42,6748,5098,5857,6045,8537,10435,,,,,,,,,6325,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,2,8,1,0,79,0,2,30,,0,0,,0,0,33,,100,4688,,,,,,,,,,,,,,,
Medina County Career Center,Ohio,,,,100,0,0,53,4400,4400,,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,9,3,0,88,0,0,87,,,,,,,,,43,3149,,,,,,,,,,,,,,,
Mercy College of Ohio,Ohio,,,,76,18,0,94,,,,,,,14564,12170,10753,13258,20031,15101,46,46,18950,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,2,13,7,0,73,0,2,52,,,,,100,0,59,,100,12134,430,500,510,350,400,520,16,18,21,14,17,23,16,17,20
Methodist Theological School in Ohio,Ohio,4869,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,1,20,3,0,63,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami University-Hamilton,Ohio,,,,94,4,1,51,10580,9509,9964,13044,14398,14889,,,,,,,,,7072,,,"Public, 4-year or above",Four or more years,Public,0,3,8,5,0,71,6,3,19,50,33,33,,18,12,20,0,83,4955,,,,,,,,,,,,,,,
